Exception Archive
Fold  0
0 1026192_02_CM.txt 1 1 1 (92, 156) (92, 170) 92 92
1 1016222_02_KH.txt 2 2 2 (122, 156) (122, 170) 122 122
2 1082892_02_CM.txt 3 3 3 (120, 156) (120, 170) 120 120
3 1017522_02_CM.txt 4 4 4 (71, 156) (71, 170) 71 71
4 1083402_02_CM.txt 5 5 5 (60, 156) (60, 170) 60 60
5 1028312_02_CM.txt 6 6 6 (127, 156) (127, 170) 127 127
6 1057362_02_CM.txt 7 7 7 (72, 156) (72, 170) 72 72
7 1059892_02_CM.txt 8 8 8 (161, 156) (161, 170) 161 161
8 1057442_02_CM.txt 9 9 9 (107, 156) (107, 170) 107 107
9 1076262_02_CM.txt 10 10 10 (208, 156) (208, 170) 208 208
10 1047092_02_CM.txt 11 11 11 (66, 156) (66, 170) 66 66
11 1006652_02_CM.txt 12 12 12 (66, 156) (66, 170) 66 66
12 1011312_02_KH.txt 13 13 13 (118, 156) (118, 170) 118 118
13 1030372_02_KH.txt 14 14 14 (120, 156) (120, 170) 120 120
0 1000172_02_KH.txt 1 1 1 (109, 156) (109, 170) 109 109
1 1000322_02_CM.txt 2 2 2 (137, 156) (137, 170) 137 137
2 1001252_02_CM.txt 3 3 3 (120, 156) (120, 170) 120 120
3 1101672_02_CM.txt 4 4 4 (77, 156) (77, 170) 77 77
4 1002932_02_KH.txt 5 5 5 (87, 156) (87, 170) 87 87
5 1004042_02_KH.txt 6 6 6 (124, 156) (124, 170) 124 124
6 1004532_02_CM.txt 7 7 7 (118, 156) (118, 170) 118 118
7 1004952_02_CM.txt 8 8 8 (109, 156) (109, 170) 109 109
8 1105372_02_KH.txt 9 9 9 (145, 156) (145, 170) 145 145
9 1105682_02_CM.txt 10 10 10 (81, 156) (81, 170) 81 81
10 1106092_02_CM.txt 11 11 11 (93, 156) (93, 170) 93 93
11 1006372_02_KH.txt 12 12 12 (104, 156) (104, 170) 104 104
12 1006402_02_KH.txt 13 13 13 (112, 156) (112, 170) 112 112
13 1008122_02_CM.txt 14 14 14 (51, 156) (51, 170) 51 51
14 1008132_02_CM.txt 15 15 15 (154, 156) (154, 170) 154 154
15 1109062_02_KH.txt 16 16 16 (260, 156) (260, 170) 260 260
0 1041762_02_KH.txt 1 1 1 (147, 156) (147, 170) 147 147
1 1013792_02_KH.txt 2 2 2 (209, 156) (209, 170) 209 209
2 1058502_02_CM.txt 3 3 3 (132, 156) (132, 170) 132 132
3 1031142_02_KH.txt 4 4 4 (92, 156) (92, 170) 92 92
4 1095942_02_KH.txt 5 5 5 (273, 156) (273, 170) 273 273
5 1024022_02_KH.txt 6 6 6 (178, 156) (178, 170) 178 178
6 1021332_02_CM.txt 7 7 7 (193, 156) (193, 170) 193 193
7 1047202_02_CM.txt 8 8 8 (40, 156) (40, 170) 40 40
8 1029902_02_KH.txt 9 9 9 (159, 156) (159, 170) 159 159
9 1058422_02_KH.txt 10 10 10 (138, 156) (138, 170) 138 138
10 1026822_02_CM.txt 11 11 11 (94, 156) (94, 170) 94 94
11 1032032_02_KH.txt 12 12 12 (275, 156) (275, 170) 275 275
12 1041482_02_KH.txt 13 13 13 (142, 156) (142, 170) 142 142
13 1026592_02_CM.txt 14 14 14 (132, 156) (132, 170) 132 132
14 1026442_02_CM.txt 15 15 15 (172, 156) (172, 170) 172 172
15 1089792_02_KH.txt 16 16 16 (170, 156) (170, 170) 170 170
16 1039062_02_KH.txt 17 17 17 (158, 156) (158, 170) 158 158
17 1048582_02_CM.txt 18 18 18 (123, 156) (123, 170) 123 123
18 1026532_02_KH.txt 19 19 19 (195, 156) (195, 170) 195 195
19 1082352_02_KH.txt 20 20 20 (142, 156) (142, 170) 142 142
20 1079072_02_CM.txt 21 21 21 (92, 156) (92, 170) 92 92
21 1048132_02_KH.txt 22 22 22 (129, 156) (129, 170) 129 129
22 1021082_02_CM.txt 23 23 23 (110, 156) (110, 170) 110 110
23 1047022_02_CM.txt 24 24 24 (150, 156) (150, 170) 150 150
24 1006782_02_CM.txt 25 25 25 (46, 156) (46, 170) 46 46
25 1076482_02_CM.txt 26 26 26 (94, 156) (94, 170) 94 94
26 1044972_02_KH.txt 27 27 27 (158, 156) (158, 170) 158 158
27 1056312_02_CM.txt 28 28 28 (119, 156) (119, 170) 119 119
28 1026122_02_KH.txt 29 29 29 (95, 156) (95, 170) 95 95
29 1041202_02_CM.txt 30 30 30 (92, 156) (92, 170) 92 92
30 1013732_02_CM.txt 31 31 31 (143, 156) (143, 170) 143 143
31 1011362_02_CM.txt 32 32 32 (143, 156) (143, 170) 143 143
32 1097512_02_KH.txt 33 33 33 (133, 156) (133, 170) 133 133
33 1026182_02_CM.txt 34 34 34 (128, 156) (128, 170) 128 128
34 1020192_02_CM.txt 35 35 35 (222, 156) (222, 170) 222 222
35 1030852_02_CM.txt 36 36 36 (175, 156) (175, 170) 175 175
36 1084092_02_CM.txt 37 37 37 (206, 156) (206, 170) 206 206
37 1107882_02_CM.txt 38 38 38 (130, 156) (130, 170) 130 130
38 1019322_02_KH.txt 39 39 39 (170, 156) (170, 170) 170 170
39 1042972_02_KH.txt 40 40 40 (114, 156) (114, 170) 114 114
40 1021472_02_KH.txt 41 41 41 (156, 156) (156, 170) 156 156
41 1052442_02_KH.txt 42 42 42 (124, 156) (124, 170) 124 124
42 1050392_02_CM.txt 43 43 43 (121, 156) (121, 170) 121 121
43 1071742_02_KH.txt 44 44 44 (93, 156) (93, 170) 93 93
44 1033382_02_KH.txt 45 45 45 (124, 156) (124, 170) 124 124
45 1035422_02_CM.txt 46 46 46 (225, 156) (225, 170) 225 225
46 1049092_02_CM.txt 47 47 47 (197, 156) (197, 170) 197 197
47 1047112_02_CM.txt 48 48 48 (87, 156) (87, 170) 87 87
48 1049042_02_CM.txt 49 49 49 (156, 156) (156, 170) 156 156
49 1010462_02_CM.txt 50 50 50 (186, 156) (186, 170) 186 186
50 1070112_02_KH.txt 51 51 51 (176, 156) (176, 170) 176 176
51 1026502_02_KH.txt 52 52 52 (57, 156) (57, 170) 57 57
